Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
71,Medical Distribution,Healthcare,95.3,56,22,22,20,"PDCO,MCK,PBH,CAH,GEG,HSIC,OMI"
72,Business Equipment & Supplies,Industrials,95.11,56,66,86,93,"PBI,HNI,EBF,ACCO,SCS,AVY"
73,Silver,Basic Materials,94.5,55,95,99,95,"EXK,MAG,PAAS,FSM,AG,SVM"
74,Asset Management,Financial Services,94.39,54,52,61,77,"HNNA,APO,VCTR,RCG,RAND,SSSS,TTP,STEP,KKR,NTG,OWL,GLAD,BAM,ARES,BK,JXN,TPZ,JHG,BX,KYN,STT,TYG,NOAH,MAIN,AMP,SEIC,BLK,CLM,NDP,BTO,CRF,NTRS,GCMG,EOS,FHI,SAMG,EMO,CEE,CG,BSIG,GRF,FSK,RCS,HLNE,SPE,ECF,EOI,DPG,NOM,CHN,AB,NML,BCV,CNS,ETY,NPV,FRA,GCV,FGB,QQQX,BRW,CCD,PFX,MPV,CGO,ETV,CGBD,JCE,ETJ,ETB,MCI,CCAP,UTG,SPXX,FDUS,SRV,ASA,NIE,TWN,CSQ,ADX,BGH,GOF,SLRC,BCSF,NCZ,CHI,RVT,BANX,IIF,FCO,ERH,NCV,SCD,ARCC,JPC,HYB,AMG,SAR,JQC,FFA,HNW,HTD,LRFC,GLU,IGA,STK,ARDC,SII,SOR,DHF,DMO,BSL,JFR,NMS,CHY,GECC,IGD,GAB,ISD,ACV,DIAX,OCCI,RMT,FLC,GHY,AVK,JHI,FT,FOF,ASG,BGB,FCT,ETW,BXMX,CHW,CION,EFT,OXLC,NEWT,BGX,GDV,PFO,DHY,EMD,NMT,ICMB,FFC,PGP,EOD,MSD,SCM,PNNT,CET,EVT,BST,JLS,JRS,GLQ,EFR,DFP,TDF,PDT,EVG,TSLX,CAF,TROW,BGT,HIO,PFD,AOD,PTY,AGD,NAZ,TSI,CII,OCCIO,GGZ,PFN,GAM,GAIN,IVZ,PHD,RA,GLO,FTF,GBDC,JPI,JGH,PHK,EAD,MHI,LDP,PHT,VGI,VCV,ETO,EXG,BOE,PFL,OXLCP,PCN,CUBA,ECCC,FPF,OXLCO,BLW,EVF,EVV,DNP,HYT,HYI,DSU,HEQ,KTF,AEF,MUI,NFJ,DSL,INSI,ETG,RIV,IAE,BDJ,CIF,RGT,JRI,CMU,BUI,TEAF,IHD,WEA,MAV,AWF,DBL,NMZ,JHS,PGZ,APAM,IDE,GLV,PIM,GDL,FMY,PDI,PPT,PCM,MMT,HQL,PAI,EIM,RNP,MHF,NZF,CXH,DTF,AWP,BTZ,USA,DMF,OPP,MIN,NRO,GNT,BHV,VLT,BGR,EDF,NAN,EGF,TY,VKI,NKX,PSF,HPI,WIA,NEA,RQI,RFI,TEI,LGI,EMF,NAD,PCF,JOF,KIO,IAF,JEQ,HQH,MCR,WIW,BWG,MMU,MGF,ETX,NMI,CXE,HIX,SBI,JMM,NAC,EHI,NVG,NXP,UTF,NBB,MFM,AFB,VGM,CIK,MVF,IQI,MIY,PMO,TRIN,NHS,NXC,MUE,ENX,HPF,BGY,HPS,ERC,EVM,IIM,RMM,NBH,GGT,GGN,NXJ,PMM,VRTS,NUV,FUND,VTN,BKT,VMO,DMB,GUT,DHIL,EOT,ECC,BIT,DSM,BLE,BTA,PEO,BTT,NXN,BHK,MHD,LEO,EVN,EDD,NUW,GRX,MYN,MUA,BFK,NNY,NMFC,MCN,PFLT,TCPC,TURN,ACP,MHN,NIM,BFZ,BNY,MYI,THQ,CEV,MUJ,IGI,NRK,PCQ,MQT,VVR,MVT,PCK,VKQ,MYD,MUC,MPA,MQY,BCX,BUR,FMN,PMF,PNI,NCA,VPV,BBN,BYM,PMX,IGR,VBF,NQP,PYN,PNF,OFS,VINP,VFL,FAX,PML,BME,SWZ,BKN,NTRSO,GROW,EEA,GBAB,OIA,GDO,PZC,OXSQ,GF,MMD,IFN,SWKH,PAX,CSWC,THW,TPVG,BEN,MXE,MXF,HFRO,WHF,KF,HRZN,PSEC,EQS,LGHL"
75,REIT—Diversified,Real Estate,94.16,54,57,73,52,"CLPR,MDRRP,MDRR,GOOD,OLP,NREF,CTO,UE,EPRT,FISK,BRDG,GOODO,OGCP,ESBA,GOODN,SQFT,ESRT,BRSP,BNL,VICI,SQFTP,WPC,LXP,SAFE,DBRG"
76,Apparel Retail,Consumer Cyclical,93.97,53,21,48,79,"VSCO,GCO,ONON,URBN,BOOT,BKE,BURL,ANF,CTRN,LULU,TJX,GIII,ROST,ZUMZ,CURV,JILL,SCVL,CRI,AEO,DLTH,CATO,PLCE,DBI,GES,DXLG,TLYS"
77,Airports & Air Services,Industrials,93.76,53,38,19,33,"BLDE,CAAP,PAC,AER,OMAB,ASLE,ASR"
78,Utilities—Regulated Gas,Utilities,93.64,52,58,47,37,"NI,ATO,UGI,SR,CPK,NWN,NJR,OGS,BIPC,SWX,RGCO,SPH,NFE"
79,Medical Devices,Healthcare,93.39,51,29,12,8,"BSGM,BFLY,ECOR,SMLR,LNSR,CLPT,DCTH,ELMD,SRTS,AXGN,MYO,RBOT,NPCE,VVOS,PRCT,BWAY,GMED,MDXG,PODD,TCMD,BSX,OFIX,IRMD,PEN,NARI,ITGR,APYX,ATEC,OM,SRDX,ESTA,SYK,RCEL,VMD,AHCO,INGN,ABT,BIO,OWLT,MOVE,VREX,INSP,TMCI,NNOX,TNDM,EW,MDT,ZBH,STE,ARAY,INMD,SNN,LIVN,PROF,SIBN,ZYXI,CNMD,IART,AEMD,LUCD,FONR,ALGN,CTSO,TELA,KIDS,IRIX,BRKR,SSKN,NAOV,NMTC,QIPT,AVNS,LUNG,HSDT,RXST,SGHT,IINN,ANIK,QTRX,XAIR,SINT,TMDX,EDAP,NVNO,RSLS,XTNT,NVRO,VERO,PAVM,MASS,NUWE,CUTR,AVGR"
80,Oil & Gas Integrated,Energy,93.08,51,54,24,62,"YPF,TGS,AE,SLNG,NFG,SU,CVX,XOM,IMO,PBR,E,BP,EQNR,CVE,TTE,EC,SSL"
81,Restaurants,Consumer Cyclical,93.07,50,28,21,17,"EAT,WNW,BH,SHAK,RAVE,YUMC,CAKE,TXRH,DRI,RICK,ARMK,CMG,NATH,KRUS,LOCO,CBRL,BJRI,MCD,CNNE,FAT,PBPB,YUM,SBUX,DPZ,BDL,GTIM,QSR,WEN,FATBB,ARKR,FATBP,DIN,RRGB,WING,ARCO,DENN,JACK,PZZA,STKS,PLAY,BLMN,NDLS"
82,Security & Protection Services,Industrials,92.82,49,37,38,53,"SNT,UUU,NL,REZI,CIX,BRC,EVLV,ALLE,ADT,MG,ARLO,MSA,VRRM,BCO,NSSC,SPCB,BKYI,VRME,DGLY"
83,Uranium,Energy,92.58,49,92,20,49,"LEU,CCJ,UEC,DNN,NXE,UUUU,UROY,URG"
84,REIT—Retail,Real Estate,92.57,48,56,46,38,"WHLRP,WHLRD,ROIC,MAC,SKT,BRX,REG,KIM,SPG,WSR,KRG,GTY,FRT,PECO,PINE,BFS,EPR,O,NNN,NTST,RPT,SRG,SITC,WHLR"
85,Integrated Freight & Logistics,Industrials,92.42,48,45,30,19,"ATSG,XPO,CHRW,AIRT,RLGT,FDX,AIRTP,HUBG,JBHT,LSTR,ZTO,FWRD,UPS,EXPD,CYRX"
86,Real Estate Services,Real Estate,92.24,47,54,91,24,"REAX,AXR,CBRE,DUO,BEKE,JLL,CWK,MLP,FSV,NMRK,RMAX,LODE,BPYPO,GYRO,CIGI,CSR,MMI,EXPI,BPYPP,FRPH,RDFN,KW,GBR,MAYS,TCI,CSGP,RMR,FTHM,OPEN,OPAD,UK"
87,Packaging & Containers,Consumer Cyclical,92.03,46,56,60,38,"PTVE,IP,PKG,KRT,PACK,SLGN,ATR,BERY,UFPT,GPK,GEF,REYN,CCK,AMCR,SEE,SON,AMBP,OI,MYE"
88,Scientific & Technical Instruments,Technology,91.46,46,32,27,16,"MIND,COHR,FARO,GRMN,ELSE,TRMB,MLAB,ESE,ITRI,TDY,GNSS,KEYS,VNT,FTV,SOTK,WRAP,MKSI,NOVT,CGNX,ZEPP,VPG,ST,MVIS,FCUV,LUNA,WATT"
89,Real Estate—Diversified,Real Estate,91.23,45,75,85,75,"CHCI,NEN,STRS,JOE"
90,"Furnishings, Fixtures & Appliances",Consumer Cyclical,91.18,45,51,49,29,"FLXS,KEQU,TILE,SNBR,WHR,LZB,TPX,LOVE,BSET,MHK,EFOI,AMWD,VIRC,PRPL,LCUT,HOFT,NTZ,LEG,NVFY"
91,Industrial Distribution,Industrials,91.03,44,53,45,35,"DXPE,AIT,GWW,CNM,FAST,WSO,WCC,PKOH,TRNS,FERG,SITE,MSM,EVI,TITN,GIC"
92,REITâ€”Diversified,Real Estate,90.96,43,63,68,66,"AAT,ALEX,AHH"
93,Entertainment,Communication Services,90.9,43,27,34,31,"MCS,CNK,NFLX,IMAX,LYV,RSVRW,RSVR,EDR,MSGS,LBRDK,LBRDA,ROKU,DIS,LBRDP,CHTR,WOW,WMG,BATRK,BATRA,LVO,HUYA,CMCSA,MSGE,AMC,RDI,LBTYB,LBTYK,LBTYA,RDIB,DLPN,HOFV,KUKE"
94,REITâ€”Mortgage,Real Estate,90.72,42,43,51,78,"ACR,AGNCP,AGNCO,AGNCM,AGNCN,ARR,AGNC,ABR,ARI,ACRE,AOMR"
95,Broadcasting,Communication Services,90.7,41,24,18,22,"CURI,FOX,MDIA,FOXA,FWONK,FWONA,TGNA,SBGI,EVC,IHRT,NWS,NWSA,NXST,SJ,AMCX,FUBO,SIRI,SSP,BBGI,SGA,UONE,TV,UONEK,GTN,CMLS"
96,Beverages—Wineries & Distilleries,Consumer Defensive,90.55,41,6,2,5,"NAPA,EAST,DEO,WVVIP,STZ,WVVI"
97,Utilities—Diversified,Utilities,90.4,40,47,55,29,"MGEE,PEG,SRE,CIG,BKH,AVA,NWE,BIP,EXC,UTL,HE,OTTR,ELP,MNTK"
98,Specialty Business Services,Industrials,90.06,40,36,33,79,"TISI,QUAD,KODK,BV,SGRP,VVI,RBA,CBZ,CPRT,FA,ABM,UNF,GPN,CASS,ACTG,WHLM,CVEO,PAYS,MMS,DLHC,DSS,EJH,OMEX"
99,Auto & Truck Dealerships,Consumer Cyclical,89.8,39,26,11,6,"GPI,LAD,RUSHB,DRVN,SAH,RUSHA,KMX,ABG,AN,KFS,RMBL,PAG,CRMT,CARS,JZXN,KXIN"
100,Healthcare Plans,Healthcare,89.75,38,50,90,62,"CLOV,ALHC,UNH,OSCR,MOH,CI,CNC,HUM,CVS,MPLN"
101,REIT—Office,Real Estate,89.64,37,49,66,46,"VNO,EQC,DLR,DEI,CUZ,SLG,BDN,PDM,KRC,HIW,BXP,NYC,FSP,CIO,COR,PGRE,PSTL,JBGS,GNL,DEA,HPP,OPI,CMCT"
102,Resorts & Casinos,Consumer Cyclical,89.64,37,51,20,7,"CNTY,BALY,BYD,PLYA,LVS,MCRI,VAC,WYNN,PENN,HGV,GDEN,MTN,MSC,RRR,MLCO,MGM,FLL,CZR"
103,Footwear & Accessories,Consumer Cyclical,89.51,37,18,56,81,"WWW,DECK,WEYS,SKX,FORD,SHOO,CROX,NKE,FL,RCKY,CAL,VRA"
104,REIT—Hotel & Motel,Real Estate,89.44,36,27,35,25,"IHT,BHR,SHO,FCPT,INN,XHR,DRH,RLJ,CLDT,RHP,PK,HST,SOHOB,SOHON,PEB,SOHOO,SOHO,SVC"
105,Farm Products,Consumer Defensive,89.09,35,33,41,56,"CALM,VITL,AVO,FDP,LMNR,SANW,TSN,CHSCL,CHSCN,CHSCO,CHSCM,ALCO,CHSCP,AGRO,VFF,ADM,BG,LND,BHIL,AQB"
106,Gold,Basic Materials,88.98,35,68,97,84,"ORLA,IAG,USAU,KGC,SSRM,NGD,CDE,AEM,AGI,OR,VGZ,WPM,RGLD,AU,EGO,DRD,HMY,FNV,SAND,GAU,NG,HL,EQX,GFI,GLDG,NEM,CGAU,GOLD,BTG,PZG,THM,SA,CMCL,SBSW,TRX,GORO,NFGC"
107,Tools & Accessories,Industrials,88.82,34,49,59,32,"SNA,GFF,EML,CVR,KMT,LECO,TTC,TKR,SWK"
108,Building Products & Equipment,Industrials,88.73,33,55,83,74,"SWIM,TGLS,AAON,PPIH,AWI,LPX,APOG,BECN,AZEK,CARR,CSTE,OC,MAS,BXC,GMS,CSL,APT,TREX,SSD,BLDR,NX,ROCK,IBP,WMS,JBI,ASPN,JELD,AEHL"
109,Electronics & Computer Distribution,Technology,88.43,33,25,56,43,"SCSC,AVT,CNXN,ARW,TAIT"
110,Real Estateâ€”Development,Real Estate,88.36,32,16,40,98,"AEI,ARL"
111,REITâ€”Residential,Real Estate,88.34,32,41,61,72,"AMH,AIV"
112,Department Stores,Consumer Cyclical,88.24,31,19,25,75,"JWN,DDS,M,KSS"
113,Drug Manufacturersâ€”Specialty & Generic,Healthcare,87.8,30,46,98,42,"AQST,AMRX,ANIP,ACB,AMPH"
114,REIT—Mortgage,Real Estate,87.7,30,33,51,45,"LFT,NYMTL,LOAN,NYMTM,MITT,DX,TRTX,NYMTN,SEVN,EARN,ORC,LADR,CIM,NLY,IVR,STWD,RWT,BXMT,PMT,KREF,NYMT,MFA,RC,TWO,GPMT,CHMI,SACH"
115,Semiconductor Equipment & Materials,Technology,87.55,29,11,16,88,"ATOM,AMBA,TRT,AEHR,XPER,NVMI,CAMT,ASYS,TER,KLIC,ICHR,UCTT,PLAB,IPGP,DQ,COHU,KLAC,LRCX,AMAT,ASML,ENTG,AXTI,VECO,OLED,ACMR,ACLS"
116,Auto Parts,Consumer Cyclical,86.83,29,15,15,11,"HYLN,STRT,ALSN,WKSP,FRSX,DORM,CAAS,MLR,MOD,AEVA,SYPR,INVZ,MPAA,GTX,DAN,CPS,PLOW,SMP,BWA,MNRO,XPEL,MGA,GNTX,ALV,QS,LKQ,AXL,GT,VC,LEA,APTV,THRM,LIDR,SUP,TEN,ADNT,WPRT,KNDI,CVGI,SRI"
117,Coking Coal,Basic Materials,86.78,28,61,6,67,"AREC,SXC,HCC,METC,AMR"
118,Consulting Services,Industrials,86.77,27,30,46,55,"CRAI,HURN,TRU,VRSK,TRI,GRNQ,EFX,EXPO,FC,FCN,BAH,BWMN,FORR,ICFI,RGP"
119,Agricultural Inputs,Basic Materials,86.48,27,9,12,22,"RKDA,ICL,UAN,CTVA,CF,IPI,SMG,NTR,MOS,FMC,SEED,BIOX,AVD,MGPI"
120,Oil & Gas Equipment & Services,Energy,86.46,26,45,9,30,"FTK,PFIE,NCSM,NGS,AROC,WTTR,RNGR,GIFI,BKR,FTI,TS,SND,WHD,PUMP,MRC,OII,VTOL,TH,NOA,DNOW,MARPS,TTI,USAC,GEOS,DWSN,LBRT,CLB,OIS,HLX,RCON,RES,CHX,SLB,FET,HAL,NOV,TUSK,NRT,KLXE,WFRD,VAL,NINE,XPRO,TDW,BOOM"
121,Insuranceâ€”Diversified,Financial Services,86.35,25,35,64,82,"AIG,AEG,ACGLO,ACGL,ACGLN"
122,Waste Management,Industrials,86.08,25,39,31,54,"AWX,GFL,CWST,PESI,RSG,CLH,WCN,WM,QRHC,MEG,AQMS"
123,Staffing & Employment Services,Industrials,86.06,24,17,10,11,"MHH,UPWK,BBSI,HSII,ADP,CCRN,PAYX,HQI,STAF,KFY,RHI,ASGN,DHX,KFRC,HSON,TNET,TBI,BZ,NSP,MAN,KELYB,JOB,BGSF,ZIP,IPDN,KELYA"
124,REITâ€”Specialty,Real Estate,86.02,24,53,93,70,"AFCG,AMT"
125,Insuranceâ€”Life,Financial Services,85.93,23,40,43,24,"AFL,AAME"
126,Aluminum,Basic Materials,85.88,22,91,45,97,"CENX,AA,KALU,CSTM"
127,Diagnostics & Research,Healthcare,85.8,22,7,37,12,"PSNL,XGN,NOTV,NTRA,BVS,BNR,RDNT,GH,CDNA,SERA,TWST,OPK,CSTL,LNTH,WAT,DGX,SENS,ILMN,LH,NEO,QGEN,VNRX,STRRP,MXCT,PHG,STIM,EXAS,BDSX,QDEL,A,MEDP,SHC,TMO,MTD,DHR,PACB,PRPO,DXCM,CRL,IQV,ANIX,FLGT,CELC,IDXX,AXDX,NEOG,ICLR,DRIO,ENZ,NRC,AWH,CODX,BMRA,MYGN,ONVO,STRR,TRIB,ME,CHEK,BNGO,NDRA,APDN,TTOO"
128,Oil & Gas E&P,Energy,85.71,21,43,9,36,"TPL,CRK,USEG,PNRG,CNX,NEXT,VIST,CLMT,EQT,PHX,AR,EPSN,GPOR,REPX,DMLP,INDO,RRC,SBR,GPRK,PVL,KRP,MXC,HUSA,CKX,EOG,NOG,CRC,GTE,BSM,HPK,MGY,PBT,CTRA,MTDR,VOC,EPM,HES,AMPY,SJT,MVO,PRT,OVV,PED,FANG,CNQ,COP,SM,SD,MTR,OXY,CRT,VET,REI,EGY,TALO,APA,MUR,DVN,BRN,BRY,WTI,KOS,BATL"
129,Trucking,Industrials,85.61,20,41,19,30,"ULH,SNDR,CVLG,BEST,SAIA,KNX,TFII,WERN,ODFL,HTLD,MRTN,ARCB,YGMZ"
130,Biotechnology,Healthcare,84.99,20,14,28,24,"SRRK,SGMO,MESO,ALGS,CADL,SMMT,CMRX,QURE,DBVT,PSTX,PULM,KOD,ETON,OMER,TARA,ARQT,IKT,ACRS,WVE,VRNA,NTRBW,DMAC,CAPR,CRVS,CDXC,ELDN,ADMA,RZLT,BNTC,TNXP,PRAX,CMMB,TARS,EWTX,CDTX,FBRX,XLO,CKPT,CRMD,TVTX,CRDF,CDXS,TGTX,DSGN,TRVI,ADPT,AVXL,IBIO,INSM,CNTA,CORT,ENTX,CSBR,JSPR,VCYT,CDMO,TIL,XERS,IFRX,AKBA,RNA,PRQR,ARGX,PLX,PTCT,LGND,AUPH,ITRM,VERA,EXEL,REPL,ZYME,MNKD,ATHE,TENX,STOK,MNOV,RIGL,ALLK,ZLAB,VCEL,SEER,DYAI,MDGL,PTGX,MGTX,ALDX,MIRM,UTHR,RVMD,OCUL,COCP,NRIX,ATRA,RYTM,VYNE,UNCY,CPRX,MNMD,CRNX,BCRX,LOGC,LPTX,XNCR,NUVB,AKRO,ENSC,ITCI,ASMB,ALNY,XBIO,CUE,OPT,XOMA,XBIT,MDWD,RFL,ALKS,INCY,AXSM,NNVC,BNTX,CARA,TLSA,LPCN,NVAX,KYMR,VTVT,ESPR,TBPH,GNPX,ALT,VSTM,BEAM,NKTR,JAZZ,CHRS,PCVX,MIST,MRKR,NBIX,SLNO,MREO,ABUS,QSI,ROIV,SRZN,ABEO,ICCC,INVA,VRDN,PLRX,KZIA,PHAR,VKTX,XOMAP,VNDA,ACHL,COGT,MOLN,KRYS,CYCN,XOMAO,NTRB,FBIO,HRMY,AGIO,DYN,MRUS,KALA,NUVL,HALO,BGNE,ANNX,SWTX,ASND,ORMP,KNSA,GERN,BPMC,TECH,SRPT,XENE,MCRB,BBIO,RCUS,LQDA,KZR,ACAD,PRTC,LIXT,PHVS,ADXN,ATNF,FULC,RGLS,AVIR,IKNA,RARE,CYTK,ADAG,OCGN,AVTE,ETNB,INBX,ATAI,MBRX,CRBP,GNFT,KRON,FENC,VERU,VRTX,RPRX,DAWN,DNLI,IPHA,ABCL,BYSI,TSHA,GLPG,GHRS,GOVX,ACHV,ADIL,FOLD,PMVP,CERS,ORIC,PBYI,VERV,BHVN,IMVT,CVAC,IMNM,VIR,IMMP,GLSI,APLS,GANX,CNTB,HCM,ONCY,BIVI,CYBN,SIGA,BMRN,ATOS,GOSS,IVA,APRE,CGEN,ADCT,PMCB,CERT,ABSI,IONS,ARWR,CTMX,PASG,HOTH,SYBX,PYPD,FBIOP,INM,VYGR,IMRN,KALV,PRTG,RVPH,CGEM,VXRT,IOVA,TYRA,TERN,SLS,SNPX,ARDX,GMAB,CLNN,OCX,YMAB,OVID,BPTH,ARMP,VOR,GLYC,FHTX,CRSP,IDYA,PTIX,IMUX,XTLB,ARTL,KPTI,SVRA,ACIU,DNA,MRSN,CGTX,ADAP,MEIP,URGN,IMCR,RXRX,XFOR,HRTX,CLSD,REGN,EQ,SCPH,MRVI,VTGN,SPRO,RVNC,CCCC,LEGN,CLLS,PTN,ENLV,LTRN,NVO,NERV,IGMS,SNSE,ABOS,CLGN,MGNX,RLYB,DARE,ATHA,BCYC,SLRX,CANF,LRMR,ITOS,SNDX,NXTC,ALLO,IMAB,AMRN,BOLT,SPRB,TNYA,ABVC,SNGX,PGEN,PSTV,EYPT,MIGI,UBX,ARVN,CLDX,NAUT,FGEN,INMB,PHAT,PRTA,LGVN,GLMD,IMTX,NRXP,HOWL,INZY,ADVM,CASI,TTNP,PYXS,ACET,ARCT,GTBP,IBRX,ANAB,INDP,NBTX,LCTX,BCDA,ENTA,VIRX,AIM,VALN,BLUE,STRO,RGNX,AUTL,LVTX,RLAY,BCTX,BDTX,BCLI,CVM,IPSC,ZNTL,ANVS,XRTX,SAGE,RCKT,RANI,AYTU,ALRN,NTLA,OLMA,KURA,ENVB,BMEA,SLGL,ATXI,DTIL,ANEB,GBIO,HEPA,CYCCP,MRNA,INAB,ALVR,GALT,JAGX,PDSB,OGEN,NKTX,LXRX,OMGA,IPA,MBIO,PCSA,FATE,ALXO,PRLD,APTO,LYRA,CRIS,ATNM,EDSA,PPBT,ALZN,NBY,ACXP,PALI,TNGX,FDMT,BCAB,TPST,AKTX,SLN,PHIO,VRPX,LYEL,CABA,GLTO,HOOK,BTAI,AGEN,KROS,SANA,ALEC,QLGN,PHGE,APVO,RPTX,EVGN,CNSP,NCNA,AFMD,NLSP,INO,EVAX,RAPT,APM,EDIT,EPIX,STTK,BLRX,VINC,VRCA,CYCC,OTLK,SONN,APLT,CTXR,EYEN,RLMD,MTEM,SAVA,CLRB,MTNB,MRNS,UPC,WINT,SYRS,ADTX"
131,Drug Manufacturers—Specialty & Generic,Healthcare,84.95,19,8,14,9,"PRFX,EBS,HROW,CPIX,TEVA,PAHC,THTX,SUPN,VTRS,DVAX,KMDA,ORGO,RDY,PROC,SNDL,DRRX,BHC,RMTI,OGI,PRGO,TAK,PCRX,ZTS,CRON,IMCC,ZOM,EOLS,COLL,RDUS,FLGC,SNOA,INCR,EVOK,ASRT,IRWD,ELAN,AVDL,TLRY,CYTH,SCYX,YCBD,CPHI,SLDB,TXMD,RDHL,CGC,PTPI,OPTN,SXTC,PRPH,XXII"
132,Textile Manufacturing,Consumer Cyclical,84.84,19,10,49,15,"CULP,CRWS,AIN,UFI"
133,Lumber & Wood Production,Basic Materials,84.82,18,60,79,28,"WFG,BCC,UFPI"
134,Medical Care Facilities,Healthcare,84.77,17,22,63,48,"MD,ICCM,AVAH,TALK,PNTG,CCEL,AMS,LFST,EHC,SEM,FMS,ADUS,DVA,THC,SMTI,NHC,ENSG,HCSG,USPH,UHS,JYNT,HCA,AMED,CHE,INNV,BKD,CYH,RHE,OPCH,SGRY,CCM,MODV,CMPS,ACHC,AMN,OTRK,AGL"
135,Mortgage Finance,Financial Services,84.64,17,29,82,80,"IOR,COOP,MRCC,VEL,HTGC,PFSI,EFC,ECPG,WD,TREE,GHLD,ESNT,LDI,UWMC,RKT,CNF,ASPS"
136,Drug Manufacturersâ€”General,Healthcare,84.3,16,20,67,85,"ABBV,AMGN"
137,Drug Manufacturers—General,Healthcare,83.91,16,12,52,51,"GILD,BMY,LLY,PFE,JNJ,GRFS,SNY,NVS,AZN,GSK,MRK,OGN,BIIB"
138,Residential Construction,Consumer Cyclical,83.06,15,59,96,48,"SKY,CVCO,LEGH,NVR,TOL,TMHC,MHO,TPH,PHM,GRBK,KBH,BZH,MTH,DHI,LEN,CCS,LGIH,HOV,DFH"
139,Paper & Paper Products,Basic Materials,82.97,14,13,16,53,"SLVM,SUZ,CLW,MERC,ITP"
140,Farm & Heavy Construction Machinery,Industrials,82.45,14,25,14,13,"REVG,DE,CAT,PCAR,LNN,CMCO,GENC,ALG,ASTE,MNTX,SHYF,AGCO,OSK,ARTW,HYFM,HY,TEX,UGRO,WNC,TWI,MTW,XOS"
141,Confectioners,Consumer Defensive,82.18,13,17,13,4,"TR,RMCF,HSY,MDLZ"
142,Pharmaceutical Retailers,Healthcare,81.76,12,3,1,4,"HITI,PETS,LFMDP,YI,SSY,WBA,LFMD,CJJD,GNLN"
143,Chemicals,Basic Materials,81.51,12,34,72,33,"RYAM,APD,VHI,MEOH,WLKP,ASIX,MTX,FF,EMN,LXU,SQM,HUN,DOW,TROX,BAK,CE"
144,Beverages—Non-Alcoholic,Consumer Defensive,81.46,11,12,37,59,"COKE,CCEP,FIZZ,KO,MNST,KDP,PEP,KOF,CELH,OTLY"
145,REIT—Industrial,Real Estate,80.55,11,24,66,58,"SELF,LANDM,LANDO,MNR,FR,PSA,TRNO,EXR,CUBE,NSA,STAG,EGP,PLD,PLYM,COLD,LAND,REXR,ILPT,IIPR"
146,Steel,Basic Materials,80.45,10,20,22,20,"USAP,MSB,ZKIN,FRD,CMC,RS,STLD,MT,GGB,SIM,X,TX,NUE,ZEUS,HUDI,CLF,SID,PKX"
147,Utilities—Renewable,Utilities,80.4,9,9,17,17,"ELLO,RNW,CWEN,BEPC,ORA,BEP,NEP,CREG,HTOO"
148,Health Information Services,Healthcare,80.31,9,2,4,3,"HCTI,OMCL,HQY,ICAD,HSTM,ZCMD,PHR,VEEV,PINC,PRVA,WORX,HCAT,SDGR,FORA,SY,TDOC,STRM,SOPH,SLP,GDRX,AMWL,ACCD,PGNY,TXG,OPRX,EVH"
149,Utilitiesâ€”Diversified,Utilities,79.59,8,8,57,66,"ALE,AES"
150,Specialty Chemicals,Basic Materials,79.3,8,14,30,10,"GEVO,FSI,HWKN,TG,ODC,TSE,RPM,NTIC,WDFC,BCPC,ECL,SHW,SXT,ESI,AXTA,DD,CBT,NEU,AVNT,NGVT,LIN,IFF,IOSP,ECVT,PPG,CMT,AVTR,ALB,KRO,ALTO,FUL,SCL,ASH,LYB,KWR,WLK,CC,OEC,KOP,OLN,SNES,LOOP,GURE,HDSN,GPRE,LWLG,CNEY,DNMR,CRKN"
151,REITâ€”Hotel & Motel,Real Estate,78.64,7,6,3,1,"APLE,AHT"
152,Copper,Basic Materials,77.58,6,48,92,98,"HBM,FCX,ERO"
153,Beverages—Brewers,Consumer Defensive,77.14,6,3,8,6,"TAP,CCU,SAM,BUD,FMX,SBEV"
154,Home Improvement Retail,Consumer Cyclical,76.55,5,11,17,8,"HD,LOW,TTSH,FND,HVT,GRWG,LESL"
155,Real Estate—Development,Real Estate,76.36,4,40,82,18,"FPH,FOR,XIN,LSEA"
156,Shell Companies,Financial Services,75.53,4,4,6,3,"CLBR,WINV,HYAC,MTAL,WALD,SWAG,NXU,KORE"
157,Financial Conglomerates,Financial Services,73.71,3,5,0,54,"JEF,VOYA,RILYL,RILYP,RILY"
158,Recreational Vehicles,Consumer Cyclical,73.0,3,4,8,1,"REE,PATK,MPX,MCFT,CWH,THO,LCII,MBUU,DOOO,HOG,WGO,ONEW,PII,FOXF,VEEE,EZGO,VMAR"
159,Marine Shipping,Industrials,69.78,2,16,74,99,"ZIM,MATX,KEX,DAC,NMM,CMRE,GSL,ESEA,PSHG,KNOP,SFL,GNK,GOGL,PXS,SHIP,GASS,SB,DSX,PANL,CTRM,SBLK,INSW,ASC,NAT,GLBS,TOPS,SMHI,EDRY"
160,Auto Manufacturers,Consumer Cyclical,67.97,1,0,3,2,"TSLA,XPEV,GM,RACE,BLBD,LI,NIU,TM,F,NIO,HMC,AYRO,STLA,WKHS,GP,HYZN,VLCN,NKLA,GOEV"
161,Oil & Gas Refining & Marketing,Energy,67.81,1,1,4,14,"CAPL,SUN,NGL,VVV,REX,CLNE,VLO,PSX,MPC,AMTX,DK,CVI,PBF,PARR,UGP,CSAN,BPT"
