Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
21,Software—Application,Technology,106.77,87,72,32,35,"KC,MSTR,MTC,PRCH,OPFI,DSP,BCOV,BMTX,CRNC,DUOT,QTWO,MAPS,JG,MYSZ,VERX,DOCU,OCFT,RDVT,INTA,PAR,OLO,BLND,MTTR,BILL,KARO,PEGA,QH,COMP,UPLD,YMM,SRAD,SHOP,COIN,TEAM,FICO,WK,CVLT,MTLS,NOW,TTD,GWRE,ZETA,ZM,CRM,SAP,HUBS,DDOG,TYL,PCTY,SNOW,PRGS,DSGX,DBD,RNG,PAYC,SMAR,RIOT,EGHT,AZPN,IBEX,PCOR,SSNC,NCNO,NRDY,IDN,MGIC,GLOB,IMMR,ESTC,MANH,FSLY,DT,YOU,MITK,WDAY,LSPD,FRSH,SNCR,WFCF,ASUR,PTC,RMNI,CDNS,MNDO,BTBT,MNDY,NTWK,INTU,DCBO,ONTF,CXM,EGAN,BLKB,BSY,U,NICE,RPD,CALX,FROG,PHUN,LYFT,RSKD,MRIN,MOGO,PD,DOMO,PUBM,BMBL,BIGC,DV,PLUS,SEMR,CLSK,SSTI,PRO,YALA,SPT,PDFS,JAMF,AWRE,ZDGE,ZI,SPNS,LPSN,UBER,EB,OTEX,CREX,VTEX,JFU,IFBD,OBLG,SMRT,SMSI,PALT,FTFT,OLB,AUUD,VERB,INTZ,LAZR"
22,Grocery Stores,Consumer Defensive,105.66,87,85,71,65,"DDL,NGVC,SFM,CASY,KR,VLGEA,WMK,ARKO,ACI,IMKTA,GO,DNUT,ASAI"
23,Banks—Regional,Financial Services,105.56,86,90,80,72,"SUPV,BBAR,GGAL,BMA,VBFC,CCB,OPOF,ESQ,NBN,OPBK,PWOD,UNTY,HTLF,FUNC,EBTC,BSVN,SYBT,IROQ,HAFC,FXNC,DCOM,FSFG,EVBN,FHN,ISTR,BMRC,NECB,FUSB,FISI,CFFI,HWBK,TMP,CIVB,SBFG,LARK,PGC,BCOW,CZWI,NRIM,TBBK,RBCAA,CFBK,SASR,HIFS,SFST,CBNK,EFSC,MCB,QCRH,CASH,SHBI,PBHC,PNFP,IBCP,BOTJ,FCNCA,UVSP,UBFO,CPF,SMBK,FBK,UMBF,SFBC,SNV,BANR,COFS,BSRR,PLBC,MGYR,BLX,CVBF,CFR,HFWA,GBCI,BANF,INBK,CBAN,MTB,SFBS,BCML,PROV,MCBS,ONB,FBMS,CTBI,ORRF,BRKL,FCCO,CBU,MPB,PDLB,COLB,RBKB,AX,WTFC,PFC,MRBK,FMAO,EGBN,HBNC,CAC,TRMK,HBAN,SPFI,BY,MFG,IFS,BKU,NBTB,FBNC,CCBG,IBTX,MOFG,VBTX,ZION,RVSB,CARE,CFG,WAL,AUBN,FSBC,INDB,PFIS,SMBC,CBFV,PCB,UNB,PRK,WNEB,RMBI,EBC,PNC,FFBC,TCBI,CBSH,PVBC,WBS,BHLB,FGBI,FULT,BFC,FRME,WTBA,FBIZ,CATY,GABC,PFS,BOKF,THFF,CCNE,SSB,SFNC,WSBC,RF,OSBC,BFIN,FIBK,TOWN,FHB,CADE,FSEA,EQBK,NFBK,HBCP,BWFG,HWC,PKBK,IBOC,PB,MBWM,KEY,HTBI,FCF,FITB,BHB,PEBK,LSBK,PFBC,CMA,TFC,BOH,VLYPP,KRNY,TRST,RNST,TCBK,STBA,NBHC,FCBC,FSBW,FNLC,FULTP,NWBI,WSFS,FFIN,CNOBP,USB,GLBZ,HOMB,WASH,CHCO,BFST,FFNW,MNSBP,BRBS,BANC,BYFC,BWB,CARV,EBMT,BCBP,FMBH,KB,PEBO,SRCE,FRAF,CHMG,OCFC,RBB,CNOB,GSBC,MYFW,DB,VABK,BAP,GNTY,FLIC,DCOMP,FMNB,LKFN,VLY,OBT,AUB,OVLY,HOPE,SBCF,ESSA,OPHC,IBN,RRBI,PBFS,TSBK,HTBK,MBCN,FFIC,SBSI,VLYPO,FNB,HBT,OVBC,MVBF,TBNK,WTFCM,UBSI,OFG,WAFD,CCNEP,TECTP,FGBIP,MBNKP,PBBK,HONE,MSBI,LCNB,PNFPP,CFFN,FRST,HFBL,CFB,MBINO,OCFCP,PPBI,FDBC,CIB,FITBP,ASRV,FITBI,HTLFP,OZK,FCNCP,FVCB,WABC,NWFL,BSBK,BLFY,BPOP,WSBCP,WMPN,CWBC,FITBO,TFSL,BWBBP,HDB,HBANM,FBP,FRBA,WTFCP,BPRN,TCBIO,WSBF,BUSE,NKSH,GCBC,LYG,MBINN,BCH,FCAP,CZNC,WF,MNSB,AVAL,CUBI,BSAC,CLBK,SBT,LOB,FFWM,UBCP,SHG,HTH,KFFB,PNBK,FNWB,HMST,ATLO,MBIN,ITUB,SSBI,BBDO,BSBR,BBD"
24,Food Distribution,Consumer Defensive,105.37,85,64,53,23,"UNFI,WILC,CHEF,USFD,PFGC,SYY,HFFG,SPTN,DIT,ANDE"
25,Information Technology Services,Technology,105.08,85,81,54,60,"INOD,PRTH,GDS,PAY,GDYN,AFRM,WYY,RSSS,AI,CTLP,EXLS,VNET,TASK,HCKT,FORTY,UIS,DMRC,SABR,CNDT,GB,G,IBM,DNB,INFY,CLPS,CSPI,EPAM,BR,FIS,ACN,IIIV,CTSH,FLYW,LDOS,JKHY,SNX,DTST,IT,PSFE,RAMP,IMXI,DXC,GIB,DLB,CACI,III,TLS,TDC,SAIC,USIO,ISDR,WNS,NSIT,TTEC,CDW,NABL,CLVT,XRX,WIT,CNXC"
26,Gambling,Consumer Cyclical,103.91,84,69,64,41,"RSI,GAMB,EVRI,GAN,AGS,CPHC,DKNG,CHDN,ACEL,SBET,IGT"
27,Railroads,Industrials,103.83,83,91,95,61,"RAIL,GBX,FSTR,WAB,TRN,NSC,UNP,CSX,CP,CNI"
28,Other Industrial Metals & Mining,Basic Materials,103.4,83,61,35,14,"UAMY,TMQ,USAS,NAK,NEXA,MP,WWR,SLI,LGO,TGB,EMX,XPL,RIO,LAC,TECK,FURY,MTRN,BHP,CMP,WRN,NMG,GSM,PLL,VALE,TMC,CHNR"
29,Telecom Services,Communication Services,102.89,82,82,88,70,"ASTS,LUMN,TDS,IDCC,VEON,TEO,GSAT,OOMA,UCL,RBBN,USM,IDT,CXDO,TMUS,RDCM,T,FYBR,CCOI,KT,ATUS,SPOK,TIGO,TKC,CNSL,IRDM,CHT,VZ,SKM,CABO,VOD,VATE,GOGO,TEF,SIFY,ATEX,PHI,AMX,TU,ANTE,VIV,SHEN,RCI,LILA,LILAK,TLK,TIMB,BCE,ATNI"
30,Pollution & Treatment Controls,Industrials,102.64,82,87,53,9,"PCTTU,PCT,CLIR,FSS,FTEK,ERII,TOMZ,CLWT,LIQT"
31,Building Materials,Basic Materials,102.49,81,87,70,57,"USLM,LOMA,MDU,SUM,SMID,CRH,VMC,EXP,MLM,CPAC,JHX,CX,RETO"
32,Insurance—Specialty,Financial Services,102.44,80,85,77,75,"TRUP,ITIC,MBI,ICCH,EIG,TIPT,RYAN,MTG,FNF,FAF,RDN,JRVR"
33,Banks—Diversified,Financial Services,102.42,80,83,83,93,"NWG,BCS,WFC,EWBC,CM,JPM,C,SMFG,BAC,HSBC,MUFG,RY,BNS,NTB,BMO,SAN,UBS,BBVA,ING,TD"
34,Apparel Manufacturing,Consumer Cyclical,102.31,79,38,65,45,"VNCE,HBI,VFC,RL,KTB,LAKE,JRSH,GIL,COLM,UAA,SGC,UA,FIGS,PVH,LEVI,OXM,GOOS,CPRI,XELB"
35,Tobacco,Consumer Defensive,102.24,79,83,58,31,"TPB,PM,MO,BTI,UVV,RLX,KAVL"
36,Luxury Goods,Consumer Cyclical,101.63,78,37,7,16,"MYTE,FOSL,TPR,MOV,SIG,CTHR,BGI"
37,Advertising Agencies,Communication Services,101.52,77,31,58,50,"ICLK,INUV,MGNI,QNST,NCMI,MCHX,WIMI,CRTO,XNET,DLX,WPP,TSQ,OMC,IPG,EEX,CCO,CMPR,ADV,FLNT,CPOP,BAOS,CNET"
38,Internet Content & Information,Communication Services,101.36,77,62,44,61,"CANG,DOYU,DAO,SMWB,TWLO,SPOT,CMCM,UXIN,CARG,DASH,Z,GENI,ZG,FVRR,GAIA,GOOGL,GOOG,YY,TRUE,FENG,MOMO,WB,TRVG,JFIN,IZEA,TME,SOHU,YELP,NTES,EVER,MTCH,ZH,ATHM,ABNB,LZ,SNAP,BIDU,GRPN,PINS,IAC,SSTK,THRY,PERI,MAX,TTGT,ANGI,CDLX,SCOR,KRKR,IQ,TC,LKCO"
39,Utilities—Regulated Electric,Utilities,101.24,76,79,80,56,"EDN,PAM,CEPU,ETR,KEN,CNP,IDA,XEL,VIASP,OGE,PPL,EVRG,LNT,WEC,PNW,PCG,CMS,EIX,D,SO,DTE,ENIC,DUK,FE,NEE,POR,FTS,ED,ES,KEP,NGG,GNE,EBR"
40,Household & Personal Products,Consumer Defensive,101.15,75,67,33,46,"DOGZ,HIMS,MTEX,NWL,CLX,CHD,PG,UL,KMB,IPAR,CL,SPB,NATR,ACU,UG,EPC,ELF,USNA,HELE,SKIN,NUS,COTY,EL,EWCZ,TANH"
41,Insuranceâ€”Property & Casualty,Financial Services,100.67,75,80,87,82,"ALL,AFG"
42,Personal Services,Consumer Cyclical,100.42,74,64,62,59,"RGS,FTDR,CSV,EM,SCI,WW,HRB,ROL,BFAM,MED,MRM"
43,Financial Data & Stock Exchanges,Financial Services,100.35,74,66,72,71,"VALU,NDAQ,CME,MORN,MSCI,MCO,FDS,ICE,SPGI,CBOE"
44,Banksâ€”Regional,Financial Services,100.31,73,89,75,91,"AMAL,AFBI,ABCB,ASB,AROW,ACNB,AMTB,ALRS"
45,REITâ€”Retail,Real Estate,100.07,72,86,93,87,"AKR,ADC,ALX"
46,Thermal Coal,Energy,99.81,72,95,38,86,"HNRG,ARLP,NRP,CEIX,NC,ARCH,BTU"
47,Specialty Retail,Consumer Cyclical,98.93,71,44,27,27,"REAL,HNST,BBW,YSG,BARK,GME,ELA,EVGO,MNSO,RH,WSM,WOOF,KAR,MUSA,ORLY,SFIX,DKS,AZO,TSCO,BBWI,WINA,LE,BBY,ULTA,SBH,ASO,FIVE,EYE,GPC,HZO,AAP,CHPT,BWMX,KIRK,BQ,FLWS,BNED,BLNK,ODP,BGFV,LIVE,NVVE"
48,Utilitiesâ€”Regulated Electric,Utilities,98.8,70,69,77,64,"AEE,AGR,AEP"
49,Insurance—Life,Financial Services,98.47,70,77,69,64,"CIA,UNM,CNO,MFC,PRI,MET,GNW,LNC,GL,PRU,BHF,BHFAO,BHFAP,BHFAN,PUK"
50,Insurance—Diversified,Financial Services,98.38,69,76,54,58,"IGIC,GSHD,EQH,ORI,SLF,HIG,FGFPP,ESGR,WDH,PFG,ESGRP,ESGRO,FGF"
51,Utilitiesâ€”Renewable,Utilities,98.2,69,90,0,0,"ADN,AQN"
52,Insuranceâ€”Specialty,Financial Services,97.93,68,65,48,44,"AMSF,AIZ,AGO,ACT,AMBC"
53,Semiconductors,Technology,97.74,67,30,29,69,"WKEY,AAOI,SMTC,EMKR,SITM,MRVL,SKYT,AVGO,SQNS,NVDA,CEVA,TSEM,TSM,MTSI,HIMX,AOSL,LEDS,MXL,RMBS,SLAB,ADI,NVEC,TXN,ASX,LSCC,CRUS,FORM,GSIT,MRAM,QCOM,DIOD,POWI,ON,ONTO,NXPI,MU,LASR,SWKS,INTT,SYNA,SIMO,ALGM,VSH,AMKR,QUIK,UMC,MPWR,VLN,AMD,IMOS,MX,PXLW,STM,MCHP,QRVO,INTC,WISA,WOLF"
54,Specialty Industrial Machinery,Industrials,97.37,67,77,76,74,"KRNT,GHM,AMSC,HWM,GTLS,CSWI,MWA,CW,JBT,B,GTES,FLS,PNR,MMM,CMI,LXFR,PH,EMR,LII,EPAC,TT,PSN,GNRC,GE,ETN,KAI,NPO,SXI,HON,CR,SPXC,ITT,AME,DOV,ROK,GRC,HLIO,HURC,ITW,IR,WTS,TAYD,GGG,IEX,RRX,FELE,OTIS,TRS,DCI,CVV,ROP,MIDD,THR,XYL,CYD,GTEC,TWIN,HI,NDSN,AOS,TNC,OFLX,BWEN,BLDP,TPIC"
55,Utilities—Regulated Water,Utilities,97.14,66,70,50,49,"ARIS,CDZI,PCYO,CDZIP,ZWS,AWR,WTRG,AWK,MSEX,GWRS,CWT,CWCO,SBS,YORW,SJW"
56,Medical Instruments & Supplies,Healthcare,97.09,66,42,43,19,"PDEX,NVCR,WRBY,KRMD,PLSE,OMIC,GKOS,ANGO,BLFS,MASI,ICUI,ISRG,MLSS,LMAT,STXS,RMD,MMSI,INFU,ATRC,NYXH,NURO,IRTC,WST,FEMY,DXR,BDX,NVST,ALC,RGEN,MBOT,HOLX,HAE,COO,STVN,UTMD,BAX,TFX,AKYA,NEPH,OSUR,STAA,RVP,XRAY,HBIO,POAI,EKSO"
57,REIT—Specialty,Real Estate,97.05,65,71,74,40,"CXW,PW,UNIT,IRM,OUT,EQIX,FPI,LAMR,GLPI,HASI,SBAC,RYN,PCH,CCI,WY"
58,Other Precious Metals & Mining,Basic Materials,96.95,64,94,98,90,"PPTA,GATO,ASM,SILV,ITRG,HYMC,MUX,PLG,MTA,BVN,NEWP,GROY"
59,Education & Training Services,Consumer Defensive,96.93,64,35,23,83,"COE,UTI,APEI,SKIL,LRN,LINC,ATGE,LXEH,PRDO,LAUR,EEIQ,GHC,LOPE,FEDU,AACG,AMBO,BEDU,STRA,TAL,IH,EDTK,COUR,AFYA,EDU,STG,WAFU,YQ,VSTA,CHGG,GOTU,CLEU"
60,Internet Retail,Consumer Cyclical,96.88,63,62,67,89,"CVNA,HEPS,JWEL,RVLV,AKA,LQDT,GLBE,RERE,CHWY,AMZN,BZUN,JD,EBAY,MOGU,CPNG,TDUP,OCG,BABA,IPW,MELI,QRTEP,ETSY,VIPS,JMIA,W,PDD,DIBS,DADA,PRTS,QRTEB,NHTC,YJ,NEGG,QRTEA,LITB"
61,Lodging,Consumer Cyclical,96.65,62,58,40,47,"WH,IHG,HLT,MAR,CHH,H,HTHT,GHG,INTG"
62,Discount Stores,Consumer Defensive,96.57,62,19,36,87,"WMT,OLLI,COST,BJ,PSMT,TGT,DLTR,DG"
63,REIT—Healthcare Facilities,Real Estate,95.82,61,79,87,83,"GEO,WELL,OHI,VTR,SBRA,CTRE,LTC,HR,NHI,DOC,HTIA,CHCT,UHT,GMRE,MPW,DHC"
64,Conglomerates,Industrials,95.81,61,48,39,43,"IRS,CRESY,STCN,BBU,CODI,SPLP,IGC,MATW,NNBR,TRC,SEB,IEP"
65,Packaged Foods,Consumer Defensive,95.76,60,70,70,73,"LSF,LFVN,JVA,SENEB,SENEA,LWAY,BRBR,K,PPC,STKL,FRPT,BRFS,INGR,PLAG,POST,SMPL,MKC,BRID,CENT,HRL,LANC,CENTA,JJSF,CVGW,PETZ,NOMD,SJM,GIS,UTZ,CPB,CAG,FLO,LEXX,KHC,JBSS,THS,DAR,HAIN,BGS,LW,FARM,HLF,NAII,FAMI,BTTR,BYND,SNAX"
66,Electronic Gaming & Multimedia,Communication Services,95.63,59,32,11,40,"NCTY,SE,RBLX,VS,BILI,TTWO,MYPS,EA,GIGM,INSE,GRVY,GDEV,PLTK,SKLZ,GAME,MSGM,BRAG,BHAT"
67,Metal Fabrication,Industrials,95.58,59,59,62,27,"CRS,MLI,NWPX,PRLB,VMI,AP,ATI,HIHO,MEC,IIIN,RYI,WOR,SGBX"
68,Oil & Gas Midstream,Energy,95.37,58,72,59,91,"DTM,GLNG,TRGP,ALTM,KMI,DLNG,MMLP,WMB,ET,OKE,LNG,VNOM,MPLX,EPD,ENB,GLP,AM,CQP,WES,HESM,TRP,ENLC,PAGP,PAA,DKL,SGU,PBA,NVGS,BROG,DHT,GEL,FLNG,TK,STNG,TNK,LPG,FRO,TRMD"
69,Software—Infrastructure,Technology,95.37,58,46,29,41,"PLTR,AVPT,CLBT,TOST,GDDY,WIX,BLIN,FTNT,BB,OSPN,ATEN,FOUR,NET,OPRA,FFIV,CFLT,SCWX,SQ,ORCL,CGNT,CYBR,DBX,SWI,CRWD,RDWR,PANW,BL,NTNX,BOX,BAND,ZUO,CHKP,YEXT,RXT,CSGS,EVCM,TUYA,FIVN,VRSN,MSFT,DOX,NTCT,EEFT,ZS,SPSC,ZENV,OKTA,S,QLYS,TENB,VRNT,DOCN,EVTC,VRNS,DAVA,SNPS,BASE,PATH,RPAY,WEX,MDB,TCX,VERI,DTSS,TIXT,MQ,STNE,ETWO,PAGS,VHC,KPLT,TAOP,REKR,STEM,SOS,CETX"
70,REIT—Residential,Real Estate,95.32,57,73,78,80,"NXRT,IRT,UMH,AVB,MAA,UDR,ESS,CPT,EQR,BRT,ELS,SUI,INVH"
